factor_id,factor_name,conceptual_solution,technology_solution,placeholder,engine,solution_status,scanner_v1_eligible,preventive_control_id,preventive_control,detective_control_id,detective_control,corrective_control_id,corrective_control,action,metrics,claim_ids,evidence_status,source_ref
FRC-11,Memória prospectiva,Usar gatilhos contextuais e lembretes para intenções futuras.,Contextual Reminder Builder,Protocolo + Checklist + Automação + EXECUTAR + Prisma,REMEMBER,CATALOG_AUTHORIZED,YES,CTRL-FRC11-P,Converter intenção futura em gatilho externo — Quando X ocorrer → apresentar Y.,CTRL-FRC11-D,"Detectar intenções repetidamente esquecidas — Sinais: eu sabia, esqueci na hora, lembrei depois, etapa omitida.",CTRL-FRC11-C,"Substituir memória interna por gatilho verificável — Após omissão, criar gatilho contextual verificável.","Trocar 'lembrar de fazer' por uma regra contextual 'quando X acontecer, criar/apresentar Y'.",ações esquecidas | ações realizadas após gatilho | lembretes ignorados | percentual de intenções concluídas no contexto esperado,CLAIM-08,AUTHORIZED_EVIDENCE_CHAIN,RC-KNW-001 · RC-SCAN-INTERVENTION-CATALOG-V1
FRC-12,Excesso de opções e dark patterns,"Reduzir opções simultâneas, usar defaults transparentes e preservar reversibilidade.",Choice Audit,Scanner + Checklist,SCAN,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-13,Fadiga decisória,Pré-definir critérios e automatizar decisões repetitivas com cautela de evidência.,Decision Rules Engine,Protocolo + Template,CONTROL,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-14,Ambiente físico e ergonomia,Adequar tarefa ao ambiente e controlar estímulos irrelevantes.,Environment Load Scanner,Scanner + Mapa,SCAN,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-15,Ambiente digital,"Limitar interrupções, reduzir conteúdo concorrente e manter estado persistente.",Focused Workspace,EXECUTAR — Card Único / Workspace,FOCUS,CATALOG_AUTHORIZED,YES,CTRL-FRC15-P,Workspace orientado à tarefa atual — Uma ação principal visível; demais estados persistidos fora do campo competitivo.,CTRL-FRC15-D,"Detectar fragmentação operacional — Sinais: múltiplos apps, informação duplicada, notificações concorrentes, estado distribuído, alternância de tela.",CTRL-FRC15-C,"Consolidar estado e reduzir fontes concorrentes — Definir app principal, fechar fontes não necessárias, silenciar interrupções e registrar estado/próximo passo.",Executar atividade crítica em workspace focado com estado persistente.,aplicativos utilizados por tarefa | mudanças de janela | interrupções | tempo de retomada | tarefas concluídas sem troca de workspace,CLAIM-09,AUTHORIZED_EVIDENCE_CHAIN,RC-KNW-001 · RC-SCAN-INTERVENTION-CATALOG-V1
FRC-16,"Rotina, hábitos e contexto",Criar pistas contextuais estáveis e relações situação–ação.,Context Trigger Builder,Protocolo + Workflow,REMEMBER,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-17,Preparação antes da execução,"Executar preflight de objetivo, materiais, contexto, dependências e primeira ação.",Preflight Runner,Checklist + Protocolo,MAP,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-18,Competição pela atenção,"Uma prioridade ativa, captura externa de interrupções e redução de estímulos concorrentes.",Focus Gate,EXECUTAR + Scanner,FOCUS,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-19,Sobrecarga cognitiva sistêmica,"Auditar conjuntamente pessoa, tarefa, informação, ambiente, processo e tecnologia.",Cognitive Risk Scanner,Scanner + Mapa + Dashboard,SCAN,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-20,Cadeia de desvalor → cadeia de valor,"Transformar barreira em controle, processo adaptado, execução, evidência e aprendizado.",Risk-to-Control Engine,Scanner → Mapa → Runbook → EXECUTAR,CONTROL,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
