id,label,type,layer,group,epistemic_class,status,source_ref,notes
COG-M3-F04,Memória prospectiva,cognitive_function,R4,Memória & Aprendizagem,E,MODELLED,Taxonomia funcional do mapa,
COG-M3-F05,Codificação,cognitive_function,R4,Memória & Aprendizagem,E,MODELLED,Taxonomia funcional do mapa,
COG-M3-F06,Recuperação,cognitive_function,R4,Memória & Aprendizagem,E,MODELLED,Taxonomia funcional do mapa,
COG-M3-F07,Aprendizagem,cognitive_function,R4,Memória & Aprendizagem,E,MODELLED,Taxonomia funcional do mapa,
COG-M4,Representação & Raciocínio,cognitive_macro,R4,Cognição,E,MODELLED,Taxonomia funcional do mapa,
COG-M4-F01,Linguagem,cognitive_function,R4,Representação & Raciocínio,E,MODELLED,Taxonomia funcional do mapa,
COG-M4-F02,Processamento visuoespacial,cognitive_function,R4,Representação & Raciocínio,E,MODELLED,Taxonomia funcional do mapa,
COG-M4-F03,Abstração,cognitive_function,R4,Representação & Raciocínio,E,MODELLED,Taxonomia funcional do mapa,
COG-M4-F04,Raciocínio,cognitive_function,R4,Representação & Raciocínio,E,MODELLED,Taxonomia funcional do mapa,
COG-M4-F05,Cálculo / numeracia,cognitive_function,R4,Representação & Raciocínio,E,MODELLED,Taxonomia funcional do mapa,
COG-M4-F06,Resolução de problemas,cognitive_function,R4,Representação & Raciocínio,E,MODELLED,Taxonomia funcional do mapa,
COG-M5,Controle Executivo & Regulação,cognitive_macro,R4,Cognição,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F01,Controle inibitório,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F02,Flexibilidade cognitiva,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F03,Planejamento,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F04,Organização,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F05,Priorização,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F06,Gestão do tempo,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F07,Monitoramento,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F08,Metacognição,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M5-F09,Autorregulação,cognitive_function,R4,Controle Executivo & Regulação,E,MODELLED,Taxonomia funcional do mapa,
COG-M6,"Decisão, Ação & Feedback",cognitive_macro,R4,Cognição,E,MODELLED,Taxonomia funcional do mapa,
COG-M6-F01,Tomada de decisão,cognitive_function,R4,"Decisão, Ação & Feedback",E,MODELLED,Taxonomia funcional do mapa,
COG-M6-F02,Iniciação,cognitive_function,R4,"Decisão, Ação & Feedback",E,MODELLED,Taxonomia funcional do mapa,
COG-M6-F03,Praxia,cognitive_function,R4,"Decisão, Ação & Feedback",E,MODELLED,Taxonomia funcional do mapa,
COG-M6-F04,Coordenação perceptivo-motora,cognitive_function,R4,"Decisão, Ação & Feedback",E,MODELLED,Taxonomia funcional do mapa,
COG-M6-F05,Correção de curso,cognitive_function,R4,"Decisão, Ação & Feedback",E,MODELLED,Taxonomia funcional do mapa,
COG-M6-F06,Feedback / aprendizagem por resultado,cognitive_function,R4,"Decisão, Ação & Feedback",E,MODELLED,Taxonomia funcional do mapa,
MAN-RELEITURA,Releitura frequente,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-BUSCA,Busca / procura repetida,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-COMPARACAO,Comparação manual recorrente,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-CLUTTER,Dificuldade de localizar prioridade,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-OMISSAO,Omissão / perda de informação crítica,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-INTERRUPCAO,Interrupção,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-RETOMADA,Retomada lenta,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-DISTRACAO,Distração / mudança involuntária de foco,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-FLUXO,Quebra de fluxo / perda de continuidade,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-ATRASO,Atraso,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-ESQUECIMENTO,Esquecimento futuro,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-INICIO,Dificuldade de iniciar,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-TRANSICAO,Dificuldade de transição,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-MANUTENCAO,Manutenção mental excessiva,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-CONTEXTO,Reconstrução / recuperação de contexto,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-CHECAGEM,Checagem repetida,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-HESITACAO,Hesitação / paralisação,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-AMBIGUIDADE,Ambiguidade / reinterpretação,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-ESCOLHA,Escolha repetida / excesso de decisão,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-BLOQUEIO,Bloqueio tardio,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-DEPENDENCIA,Dependência oculta / sequência reconstruída,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-RETRABALHO,Retrabalho,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-FRAGMENTACAO,Fragmentação / estado distribuído,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
MAN-DUPLICACAO,Duplicação / manutenção administrativa,operational_manifestation,R5,Manifestação operacional,D,DEFINED,RC-SCAN signals / manifestações,Não equivale a déficit clínico.
FRC-01,FRC-01 · Tailoring do projeto,frc_factor,R6,MG-05 Sistema & Arquitetura de Suporte,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"Método, etapas ou controles desproporcionais ao objetivo."
FRC-02,FRC-02 · Perfil cognitivo do executor,frc_factor,R6,MG-01 Pessoa & Cognição,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"O fluxo presume a mesma capacidade de atenção, memória, planejamento e alternância para todos."
FRC-03,FRC-03 · Quantidade de informação,frc_factor,R6,MG-02 Informação & Interface,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Filtrar e manter mais informação do que é utilizável naquele momento.
FRC-04,FRC-04 · Forma e visualização da informação,frc_factor,R6,MG-02 Informação & Interface,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"Esforço elevado para procurar, comparar e descobrir o que importa."
FRC-05,FRC-05 · Task switching,frc_factor,R6,MG-03 Tarefa & Fluxo de Execução,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Interrupção exige abandonar contexto e reconstruí-lo na retomada.
FRC-06,FRC-06 · Decomposição de tarefas,frc_factor,R6,MG-03 Tarefa & Fluxo de Execução,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"Objetivo existe, mas não há próxima ação suficientemente explícita."
FRC-07,FRC-07 · Clareza e escrita da tarefa,frc_factor,R6,MG-03 Tarefa & Fluxo de Execução,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,A tarefa precisa ser reinterpretada ao iniciar ou retomar.
FRC-08,FRC-08 · Agrupamento e chunking,frc_factor,R6,MG-02 Informação & Interface,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Muitos elementos independentes competem como unidades separadas.
FRC-09,FRC-09 · Dependências e cadeia de valor,frc_factor,R6,MG-03 Tarefa & Fluxo de Execução,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Dependências e ordem real precisam ser mantidas ou reconstruídas mentalmente.
FRC-10,FRC-10 · Externalização cognitiva,frc_factor,R6,MG-05 Sistema & Arquitetura de Suporte,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"Prazos, estados, decisões e intenções permanecem na memória em vez do sistema."
FRC-11,FRC-11 · Memória prospectiva,frc_factor,R6,MG-01 Pessoa & Cognição,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"A ação é conhecida, mas precisa ser lembrada no momento correto."
FRC-12,FRC-12 · Excesso de opções e dark patterns,frc_factor,R6,MG-02 Informação & Interface,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Muitas alternativas ampliam comparação e escolha antes da ação.
FRC-13,FRC-13 · Fadiga decisória,frc_factor,R6,MG-01 Pessoa & Cognição,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Decisões importantes competem com decisões anteriores e repetitivas.
FRC-14,FRC-14 · Ambiente físico e ergonomia,frc_factor,R6,MG-04 Ambiente & Contexto,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"Ruído, fala, iluminação, organização ou equipamento acrescentam demanda."
FRC-15,FRC-15 · Ambiente digital,frc_factor,R6,MG-02 Informação & Interface,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"Apps, notificações, abas e estados distribuídos exigem reorientação contínua."
FRC-16,"FRC-16 · Rotina, hábitos e contexto",frc_factor,R6,MG-04 Ambiente & Contexto,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Comportamentos recorrentes precisam ser novamente decididos e iniciados.
FRC-17,FRC-17 · Preparação antes da execução,frc_factor,R6,MG-03 Tarefa & Fluxo de Execução,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,"A tarefa começa sem contexto, materiais, regras ou primeira ação preparados."
FRC-18,FRC-18 · Competição pela atenção,frc_factor,R6,MG-01 Pessoa & Cognição,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Vários estímulos ou objetivos permanecem candidatos simultâneos ao foco.
FRC-19,FRC-19 · Sobrecarga cognitiva sistêmica,frc_factor,R6,MG-05 Sistema & Arquitetura de Suporte,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,Demandas de diferentes fontes acumulam-se e o sistema inteiro consome capacidade.
FRC-20,FRC-20 · Cadeia de desvalor → cadeia de valor,frc_factor,R6,MG-05 Sistema & Arquitetura de Suporte,D,DEFINED,TP-001.FACTOR_INVENTORY.V1,O executor compensa continuamente um sistema mal desenhado em vez de receber suporte estrutural.
DEM-COG,Demanda cognitiva possível,demand,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
VULN-CONTEXT,Vulnerabilidade / barreira relevante,vulnerability,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
EXP-COG,Exposição cognitiva possível,exposure,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
RISK-POSSIBLE,Risco cognitivo possível,risk,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
IMPACT-ERROR,Erro,impact,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
IMPACT-DELAY,Atraso,impact,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
IMPACT-FORGET,Esquecimento / omissão,impact,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
IMPACT-REWORK,Retrabalho,impact,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
IMPACT-ABANDON,Abandono,impact,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
IMPACT-CONTINUITY,Perda de continuidade,impact,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
FEEDBACK-TEST,Feedback do teste,feedback,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
LEARNING-RC,Aprendizado governado,learning,R7,Solução · Impacto · Feedback,D,DEFINED,TP-001 / RC-SCAN,
ENGINE-SCAN,SCAN,engine,R7,Engines,D,DEFINED,TP-001 factor-solution matrix,
ENGINE-CONVERT,CONVERT,engine,R7,Engines,D,DEFINED,TP-001 factor-solution matrix,
ENGINE-MAP,MAP,engine,R7,Engines,D,DEFINED,TP-001 factor-solution matrix,
ENGINE-REMEMBER,REMEMBER,engine,R7,Engines,D,DEFINED,TP-001 factor-solution matrix,
ENGINE-FOCUS,FOCUS,engine,R7,Engines,D,DEFINED,TP-001 factor-solution matrix,
ENGINE-CONTROL,CONTROL,engine,R7,Engines,D,DEFINED,TP-001 factor-solution matrix,
ENGINE-MEASURE,MEASURE,engine,R7,Engines,D,DEFINED,TP-001 factor-solution matrix,
SOL-01,Tailoring Engine,solution,R7,CONTROL,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Adaptar rigor, artefatos, controles e processos ao contexto e complexidade."
SOL-02,Cognitive Demand Mapper,solution,R7,SCAN,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,Mapear demandas da tarefa sem diagnosticar pessoas.
SOL-03,Cognitive Content Converter,solution,R7,CONVERT,D,CATALOG_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Filtragem, progressive disclosure, agrupamento e foco no necessário para a ação atual."
CTRL-FRC03-P,Progressive disclosure + filtragem contextual,control,R7,FRC-03,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Mostrar prioritariamente apenas informação necessária à ação atual.
CTRL-FRC03-D,Detectar busca/releitura excessiva,control,R7,FRC-03,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Sinais: muitas consultas, releitura, procura repetida, comparação manual, abandono da leitura."
CTRL-FRC03-C,Converter conteúdo para visão reduzida e hierarquizada,control,R7,FRC-03,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Documento completo → Essencial agora → Ações → Evidências → Detalhes.
ACTION-03,Converter o conteúdo para uma visão hierarquizada orientada à ação.,action,R7,FRC-03,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,
METRIC-03-01,tempo até localizar informação necessária,metric,R7,FRC-03,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-03-02,quantidade de releituras,metric,R7,FRC-03,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-03-03,número de consultas ao documento,metric,R7,FRC-03,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-03-04,next_action_identified,metric,R7,FRC-03,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
SOL-04,Cognitive View Engine,solution,R7,CONVERT,D,CATALOG_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Reduzir clutter, estabelecer hierarquia e distinguir prioridade."
CTRL-FRC04-P,Hierarquia informacional pré-definida,control,R7,FRC-04,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Prioridade → agrupamento semântico → contraste funcional → whitespace → progressive disclosure.
CTRL-FRC04-D,Detectar competição visual,control,R7,FRC-04,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Identificar telas/documentos em que elementos secundários competem com o principal.
CTRL-FRC04-C,Re-renderizar conteúdo,control,R7,FRC-04,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Conteúdo plano → título → decisão → ação → evidência → detalhe.
ACTION-04,Aplicar uma estrutura visual hierarquizada ao mesmo conteúdo.,action,R7,FRC-04,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,
METRIC-04-01,tempo para encontrar informação crítica,metric,R7,FRC-04,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-04-02,cliques/rolagem até a ação,metric,R7,FRC-04,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-04-03,erros de localização,metric,R7,FRC-04,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-04-04,escolha correta do próximo passo,metric,R7,FRC-04,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
SOL-05,Resume Point Engine,solution,R7,FOCUS,D,CATALOG_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Batching, blocos protegidos e pontos explícitos de retomada."
CTRL-FRC05-P,Batching + proteção do bloco ativo,control,R7,FRC-05,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Manter 1 prioridade ativa e capturar externamente interrupções não urgentes.
CTRL-FRC05-D,Registrar trocas de contexto,control,R7,FRC-05,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Sinais: app_changed, task_changed, interruption_received, resume_required."
CTRL-FRC05-C,Oferecer ponto explícito de retomada,control,R7,FRC-05,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Registrar onde parou, última decisão, próximo passo e contexto necessário."
ACTION-05,Criar um Resume Point antes de abandonar uma tarefa importante.,action,R7,FRC-05,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,
METRIC-05-01,número de switches,metric,R7,FRC-05,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-05-02,tempo para retomar,metric,R7,FRC-05,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-05-03,releitura após interrupção,metric,R7,FRC-05,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-05-04,tarefas abandonadas após troca,metric,R7,FRC-05,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
SOL-06,Task Decomposer,solution,R7,CONVERT,D,CATALOG_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,Decompor objetivos em caminhos curtos com próxima ação explícita.
CTRL-FRC06-P,Decompor antes da execução,control,R7,FRC-06,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Objetivo → Entregável → Etapa → Próxima ação.
CTRL-FRC06-D,Detectar objetivo sem primeira ação,control,R7,FRC-06,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Sinais: não sei começar, tarefa grande demais, várias operações dentro da mesma tarefa."
CTRL-FRC06-C,Pausar e decompor,control,R7,FRC-06,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Interromper tentativa de execução e decompor o trabalho.
ACTION-06,Perguntar: qual é a menor ação observável que faz este objetivo avançar?,action,R7,FRC-06,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,
METRIC-06-01,tempo entre selecionar e iniciar,metric,R7,FRC-06,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-06-02,objetivos sem próxima ação,metric,R7,FRC-06,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-06-03,etapas concluídas,metric,R7,FRC-06,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-06-04,abandono antes da primeira ação,metric,R7,FRC-06,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
SOL-07,TaskLint,solution,R7,CONVERT,D,CATALOG_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Explicitar início, processo, recursos, próximo passo e critério de conclusão."
CTRL-FRC07-P,Validar tarefa antes da fila,control,R7,FRC-07,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Ação + objeto + resultado + contexto + critério de conclusão.
CTRL-FRC07-D,Detectar tarefas vagas,control,R7,FRC-07,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Exemplos: organizar projeto, ver relatório, resolver apresentação, trabalhar marketing."
CTRL-FRC07-C,Reescrever tarefa antes da execução,control,R7,FRC-07,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Transformar intenção vaga em ação verificável e critério de pronto.
ACTION-07,"Reescrever a tarefa para explicitar ação, resultado, contexto e critério de conclusão.",action,R7,FRC-07,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,
METRIC-07-01,time_to_first_action,metric,R7,FRC-07,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-07-02,número de reinterpretações,metric,R7,FRC-07,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-07-03,tarefas devolvidas por ambiguidade,metric,R7,FRC-07,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-07-04,percentual de tarefas com critério de pronto,metric,R7,FRC-07,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
SOL-08,Cognitive Chunker,solution,R7,CONVERT,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,Transformar elementos relacionados em unidades significativas.
SOL-09,Dependency Mapper,solution,R7,MAP,D,CATALOG_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Externalizar pré-requisitos, sequência, estado e próximo passo."
CTRL-FRC09-P,Tornar dependências explícitas,control,R7,FRC-09,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Cada atividade declara depende_de, desbloqueia, estado e responsável."
CTRL-FRC09-D,Detectar início com pré-requisito incompleto,control,R7,FRC-09,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Sinais: bloqueio tardio, espera, retrabalho, tarefa começada cedo demais."
