edge_id,source,relation,target,weight,epistemic_class,evidence_ref,status,notes
EDGE-0020,S1,mobilizes,COG-M2,2,E,Modelagem cognitiva,DEFINED,
EDGE-0021,S1,mobilizes,COG-M4,2,E,Modelagem cognitiva,DEFINED,
EDGE-0022,S2,mobilizes,COG-M2,2,E,Modelagem cognitiva,DEFINED,
EDGE-0023,S2,mobilizes,COG-M3,2,E,Modelagem cognitiva,DEFINED,
EDGE-0024,S2,mobilizes,COG-M5,2,E,Modelagem cognitiva,DEFINED,
EDGE-0025,S3,mobilizes,COG-M3,2,E,Modelagem cognitiva,DEFINED,
EDGE-0026,S3,mobilizes,COG-M5,2,E,Modelagem cognitiva,DEFINED,
EDGE-0027,S3,mobilizes,COG-M6,2,E,Modelagem cognitiva,DEFINED,
EDGE-0028,S4,mobilizes,COG-M1,2,E,Modelagem cognitiva,DEFINED,
EDGE-0029,S4,mobilizes,COG-M2,2,E,Modelagem cognitiva,DEFINED,
EDGE-0030,S4,mobilizes,COG-M6,2,E,Modelagem cognitiva,DEFINED,
EDGE-0031,S5,mobilizes,COG-M3,2,E,Modelagem cognitiva,DEFINED,
EDGE-0032,S5,mobilizes,COG-M5,2,E,Modelagem cognitiva,DEFINED,
EDGE-0033,S6,mobilizes,COG-M5,2,E,Modelagem cognitiva,DEFINED,
EDGE-0034,S6,mobilizes,COG-M6,2,E,Modelagem cognitiva,DEFINED,
EDGE-0035,S7,mobilizes,COG-M4,2,E,Modelagem cognitiva,DEFINED,
EDGE-0036,S7,mobilizes,COG-M5,2,E,Modelagem cognitiva,DEFINED,
EDGE-0037,S8,mobilizes,COG-M2,2,E,Modelagem cognitiva,DEFINED,
EDGE-0038,S8,mobilizes,COG-M3,2,E,Modelagem cognitiva,DEFINED,
EDGE-0039,S8,mobilizes,COG-M5,2,E,Modelagem cognitiva,DEFINED,
EDGE-0040,S8,mobilizes,COG-M6,2,E,Modelagem cognitiva,DEFINED,
EDGE-0041,STATE-STRESS,modulates,COG-M2,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0042,STATE-STRESS,modulates,COG-M3,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0043,STATE-STRESS,modulates,COG-M5,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0044,STATE-STRESS,modulates,COG-M6,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0045,STATE-FATIGUE,modulates,COG-M2,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0046,STATE-FATIGUE,modulates,COG-M5,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0047,STATE-FATIGUE,modulates,COG-M6,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0048,STATE-MOTIVATION,modulates,COG-M2,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0049,STATE-MOTIVATION,modulates,COG-M5,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0050,STATE-MOTIVATION,modulates,COG-M6,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0051,STATE-AROUSAL,modulates,COG-M1,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0052,STATE-AROUSAL,modulates,COG-M2,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0053,STATE-AROUSAL,modulates,COG-M6,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0054,STATE-THREAT,modulates,COG-M2,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0055,STATE-THREAT,modulates,COG-M5,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0056,STATE-THREAT,modulates,COG-M6,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0057,STATE-MOOD,modulates,COG-M3,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0058,STATE-MOOD,modulates,COG-M4,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0059,STATE-MOOD,modulates,COG-M6,1,E,Modelagem transversal; não diagnóstico,DEFINED,
EDGE-0060,COG-M1,contains_function,COG-M1-F01,3,E,Taxonomia funcional,DEFINED,
EDGE-0061,COG-M1,contains_function,COG-M1-F02,3,E,Taxonomia funcional,DEFINED,
EDGE-0062,COG-M1,contains_function,COG-M1-F03,3,E,Taxonomia funcional,DEFINED,
EDGE-0063,COG-M2,contains_function,COG-M2-F01,3,E,Taxonomia funcional,DEFINED,
EDGE-0064,COG-M2,contains_function,COG-M2-F02,3,E,Taxonomia funcional,DEFINED,
EDGE-0065,COG-M2,contains_function,COG-M2-F03,3,E,Taxonomia funcional,DEFINED,
EDGE-0066,COG-M2,contains_function,COG-M2-F04,3,E,Taxonomia funcional,DEFINED,
EDGE-0067,COG-M2,contains_function,COG-M2-F05,3,E,Taxonomia funcional,DEFINED,
EDGE-0068,COG-M3,contains_function,COG-M3-F01,3,E,Taxonomia funcional,DEFINED,
EDGE-0069,COG-M3,contains_function,COG-M3-F02,3,E,Taxonomia funcional,DEFINED,
EDGE-0070,COG-M3,contains_function,COG-M3-F03,3,E,Taxonomia funcional,DEFINED,
EDGE-0071,COG-M3,contains_function,COG-M3-F04,3,E,Taxonomia funcional,DEFINED,
EDGE-0072,COG-M3,contains_function,COG-M3-F05,3,E,Taxonomia funcional,DEFINED,
EDGE-0073,COG-M3,contains_function,COG-M3-F06,3,E,Taxonomia funcional,DEFINED,
EDGE-0074,COG-M3,contains_function,COG-M3-F07,3,E,Taxonomia funcional,DEFINED,
EDGE-0075,COG-M4,contains_function,COG-M4-F01,3,E,Taxonomia funcional,DEFINED,
EDGE-0076,COG-M4,contains_function,COG-M4-F02,3,E,Taxonomia funcional,DEFINED,
EDGE-0077,COG-M4,contains_function,COG-M4-F03,3,E,Taxonomia funcional,DEFINED,
EDGE-0078,COG-M4,contains_function,COG-M4-F04,3,E,Taxonomia funcional,DEFINED,
EDGE-0079,COG-M4,contains_function,COG-M4-F05,3,E,Taxonomia funcional,DEFINED,
EDGE-0080,COG-M4,contains_function,COG-M4-F06,3,E,Taxonomia funcional,DEFINED,
EDGE-0081,COG-M5,contains_function,COG-M5-F01,3,E,Taxonomia funcional,DEFINED,
EDGE-0082,COG-M5,contains_function,COG-M5-F02,3,E,Taxonomia funcional,DEFINED,
EDGE-0083,COG-M5,contains_function,COG-M5-F03,3,E,Taxonomia funcional,DEFINED,
EDGE-0084,COG-M5,contains_function,COG-M5-F04,3,E,Taxonomia funcional,DEFINED,
EDGE-0085,COG-M5,contains_function,COG-M5-F05,3,E,Taxonomia funcional,DEFINED,
EDGE-0086,COG-M5,contains_function,COG-M5-F06,3,E,Taxonomia funcional,DEFINED,
EDGE-0087,COG-M5,contains_function,COG-M5-F07,3,E,Taxonomia funcional,DEFINED,
EDGE-0088,COG-M5,contains_function,COG-M5-F08,3,E,Taxonomia funcional,DEFINED,
EDGE-0089,COG-M5,contains_function,COG-M5-F09,3,E,Taxonomia funcional,DEFINED,
EDGE-0090,COG-M6,contains_function,COG-M6-F01,3,E,Taxonomia funcional,DEFINED,
EDGE-0091,COG-M6,contains_function,COG-M6-F02,3,E,Taxonomia funcional,DEFINED,
EDGE-0092,COG-M6,contains_function,COG-M6-F03,3,E,Taxonomia funcional,DEFINED,
EDGE-0093,COG-M6,contains_function,COG-M6-F04,3,E,Taxonomia funcional,DEFINED,
EDGE-0094,COG-M6,contains_function,COG-M6-F05,3,E,Taxonomia funcional,DEFINED,
EDGE-0095,COG-M6,contains_function,COG-M6-F06,3,E,Taxonomia funcional,DEFINED,
EDGE-0096,COG-M1,may_manifest_as,MAN-BUSCA,1,E,Modelagem operacional,DEFINED,
EDGE-0097,COG-M1,may_manifest_as,MAN-CLUTTER,1,E,Modelagem operacional,DEFINED,
EDGE-0098,COG-M1,may_manifest_as,MAN-OMISSAO,1,E,Modelagem operacional,DEFINED,
EDGE-0099,COG-M2,may_manifest_as,MAN-DISTRACAO,1,E,Modelagem operacional,DEFINED,
EDGE-0100,COG-M2,may_manifest_as,MAN-INTERRUPCAO,1,E,Modelagem operacional,DEFINED,
EDGE-0101,COG-M2,may_manifest_as,MAN-FLUXO,1,E,Modelagem operacional,DEFINED,
EDGE-0102,COG-M3,may_manifest_as,MAN-RELEITURA,1,E,Modelagem operacional,DEFINED,
EDGE-0103,COG-M3,may_manifest_as,MAN-ESQUECIMENTO,1,E,Modelagem operacional,DEFINED,
EDGE-0104,COG-M3,may_manifest_as,MAN-CONTEXTO,1,E,Modelagem operacional,DEFINED,
EDGE-0105,COG-M3,may_manifest_as,MAN-CHECAGEM,1,E,Modelagem operacional,DEFINED,
EDGE-0106,COG-M4,may_manifest_as,MAN-COMPARACAO,1,E,Modelagem operacional,DEFINED,
EDGE-0107,COG-M4,may_manifest_as,MAN-AMBIGUIDADE,1,E,Modelagem operacional,DEFINED,
EDGE-0108,COG-M4,may_manifest_as,MAN-HESITACAO,1,E,Modelagem operacional,DEFINED,
EDGE-0109,COG-M5,may_manifest_as,MAN-INICIO,1,E,Modelagem operacional,DEFINED,
EDGE-0110,COG-M5,may_manifest_as,MAN-ESCOLHA,1,E,Modelagem operacional,DEFINED,
EDGE-0111,COG-M5,may_manifest_as,MAN-BLOQUEIO,1,E,Modelagem operacional,DEFINED,
EDGE-0112,COG-M5,may_manifest_as,MAN-TRANSICAO,1,E,Modelagem operacional,DEFINED,
EDGE-0113,COG-M5,may_manifest_as,MAN-MANUTENCAO,1,E,Modelagem operacional,DEFINED,
EDGE-0114,COG-M6,may_manifest_as,MAN-ATRASO,1,E,Modelagem operacional,DEFINED,
EDGE-0115,COG-M6,may_manifest_as,MAN-RETRABALHO,1,E,Modelagem operacional,DEFINED,
EDGE-0116,COG-M6,may_manifest_as,MAN-FLUXO,1,E,Modelagem operacional,DEFINED,
EDGE-0117,MAN-RELEITURA,signals_candidate_factor,FRC-03,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0118,MAN-RELEITURA,signals_candidate_factor,FRC-04,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0119,MAN-RELEITURA,signals_candidate_factor,FRC-05,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0120,MAN-RELEITURA,signals_candidate_factor,FRC-10,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0121,MAN-BUSCA,signals_candidate_factor,FRC-03,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0122,MAN-BUSCA,signals_candidate_factor,FRC-04,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0123,MAN-COMPARACAO,signals_candidate_factor,FRC-03,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0124,MAN-COMPARACAO,signals_candidate_factor,FRC-04,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0125,MAN-CLUTTER,signals_candidate_factor,FRC-04,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0126,MAN-CLUTTER,signals_candidate_factor,FRC-18,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0127,MAN-OMISSAO,signals_candidate_factor,FRC-03,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0128,MAN-OMISSAO,signals_candidate_factor,FRC-11,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0129,MAN-INTERRUPCAO,signals_candidate_factor,FRC-05,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0130,MAN-INTERRUPCAO,signals_candidate_factor,FRC-15,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0131,MAN-INTERRUPCAO,signals_candidate_factor,FRC-18,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0132,MAN-RETOMADA,signals_candidate_factor,FRC-05,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0133,MAN-RETOMADA,signals_candidate_factor,FRC-10,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0134,MAN-DISTRACAO,signals_candidate_factor,FRC-05,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0135,MAN-DISTRACAO,signals_candidate_factor,FRC-14,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0136,MAN-DISTRACAO,signals_candidate_factor,FRC-18,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0137,MAN-FLUXO,signals_candidate_factor,FRC-05,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0138,MAN-FLUXO,signals_candidate_factor,FRC-15,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0139,MAN-ATRASO,signals_candidate_factor,FRC-11,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0140,MAN-ATRASO,signals_candidate_factor,FRC-13,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0141,MAN-ATRASO,signals_candidate_factor,FRC-17,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0142,MAN-ESQUECIMENTO,signals_candidate_factor,FRC-10,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0143,MAN-ESQUECIMENTO,signals_candidate_factor,FRC-11,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0144,MAN-INICIO,signals_candidate_factor,FRC-06,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0145,MAN-INICIO,signals_candidate_factor,FRC-16,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0146,MAN-INICIO,signals_candidate_factor,FRC-17,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0147,MAN-TRANSICAO,signals_candidate_factor,FRC-05,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0148,MAN-TRANSICAO,signals_candidate_factor,FRC-17,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0149,MAN-MANUTENCAO,signals_candidate_factor,FRC-02,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0150,MAN-MANUTENCAO,signals_candidate_factor,FRC-09,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0151,MAN-MANUTENCAO,signals_candidate_factor,FRC-10,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0152,MAN-MANUTENCAO,signals_candidate_factor,FRC-11,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0153,MAN-CONTEXTO,signals_candidate_factor,FRC-05,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0154,MAN-CONTEXTO,signals_candidate_factor,FRC-10,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0155,MAN-CONTEXTO,signals_candidate_factor,FRC-15,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0156,MAN-CHECAGEM,signals_candidate_factor,FRC-10,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0157,MAN-CHECAGEM,signals_candidate_factor,FRC-11,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0158,MAN-HESITACAO,signals_candidate_factor,FRC-06,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0159,MAN-HESITACAO,signals_candidate_factor,FRC-12,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0160,MAN-HESITACAO,signals_candidate_factor,FRC-13,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0161,MAN-AMBIGUIDADE,signals_candidate_factor,FRC-07,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0162,MAN-ESCOLHA,signals_candidate_factor,FRC-12,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0163,MAN-ESCOLHA,signals_candidate_factor,FRC-13,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0164,MAN-BLOQUEIO,signals_candidate_factor,FRC-09,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0165,MAN-BLOQUEIO,signals_candidate_factor,FRC-17,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0166,MAN-DEPENDENCIA,signals_candidate_factor,FRC-09,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0167,MAN-DEPENDENCIA,signals_candidate_factor,FRC-20,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0168,MAN-RETRABALHO,signals_candidate_factor,FRC-09,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0169,MAN-RETRABALHO,signals_candidate_factor,FRC-19,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0170,MAN-RETRABALHO,signals_candidate_factor,FRC-20,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0171,MAN-FRAGMENTACAO,signals_candidate_factor,FRC-15,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0172,MAN-FRAGMENTACAO,signals_candidate_factor,FRC-19,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0173,MAN-DUPLICACAO,signals_candidate_factor,FRC-15,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0174,MAN-DUPLICACAO,signals_candidate_factor,FRC-19,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0175,MAN-DUPLICACAO,signals_candidate_factor,FRC-20,3,D,RC-SCAN-QUESTION-CATALOG-V1 / factor-sense matrix,DEFINED,
EDGE-0176,S7,associated_with_factor,FRC-01,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0177,S8,associated_with_factor,FRC-01,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0178,S5,associated_with_factor,FRC-02,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0179,S6,associated_with_factor,FRC-02,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0180,S1,associated_with_factor,FRC-03,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0181,S5,associated_with_factor,FRC-03,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0182,S1,associated_with_factor,FRC-04,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0183,S2,associated_with_factor,FRC-05,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0184,S5,associated_with_factor,FRC-05,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0185,S3,associated_with_factor,FRC-05,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0186,S6,associated_with_factor,FRC-06,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0187,S7,associated_with_factor,FRC-06,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0188,S1,associated_with_factor,FRC-07,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0189,S6,associated_with_factor,FRC-07,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0190,S1,associated_with_factor,FRC-08,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0191,S5,associated_with_factor,FRC-08,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0192,S7,associated_with_factor,FRC-09,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0193,S5,associated_with_factor,FRC-09,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0194,S5,associated_with_factor,FRC-10,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0195,S8,associated_with_factor,FRC-10,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0196,S3,associated_with_factor,FRC-11,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0197,S5,associated_with_factor,FRC-11,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0198,S6,associated_with_factor,FRC-12,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0199,S8,associated_with_factor,FRC-12,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0200,S6,associated_with_factor,FRC-13,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0201,S3,associated_with_factor,FRC-13,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0202,S4,associated_with_factor,FRC-14,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0203,S2,associated_with_factor,FRC-14,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0204,S1,associated_with_factor,FRC-14,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0205,S8,associated_with_factor,FRC-15,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0206,S1,associated_with_factor,FRC-15,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0207,S2,associated_with_factor,FRC-15,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0208,S3,associated_with_factor,FRC-16,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0209,S4,associated_with_factor,FRC-16,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0210,S6,associated_with_factor,FRC-16,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0211,S3,associated_with_factor,FRC-17,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0212,S5,associated_with_factor,FRC-17,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0213,S6,associated_with_factor,FRC-17,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0214,S1,associated_with_factor,FRC-18,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0215,S2,associated_with_factor,FRC-18,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0216,S5,associated_with_factor,FRC-18,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0217,S1,associated_with_factor,FRC-19,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0218,S2,associated_with_factor,FRC-19,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0219,S3,associated_with_factor,FRC-19,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0220,S4,associated_with_factor,FRC-19,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0221,S5,associated_with_factor,FRC-19,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0222,S6,associated_with_factor,FRC-19,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0223,S7,associated_with_factor,FRC-19,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0224,S8,associated_with_factor,FRC-19,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0225,S7,associated_with_factor,FRC-20,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0226,S8,associated_with_factor,FRC-20,3,D,TP-001 factor × senses matrix,DEFINED,
EDGE-0227,FRC-01,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0228,FRC-02,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0229,FRC-03,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0230,FRC-04,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0231,FRC-05,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0232,FRC-06,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0233,FRC-07,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0234,FRC-08,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0235,FRC-09,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0236,FRC-10,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0237,FRC-11,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0238,FRC-12,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
EDGE-0239,FRC-13,may_increase,DEM-COG,2,D,TP-001 thesis / factor model,Não implica risco automaticamente.,
