Title,Description,Status,Priority,Labels,Project,Estimate,External ID
"[PLAN-EXEC-1409-F10] Scanner, Rotina e Integrações Externas","Título operacional: PLAN-EXEC-1409-F10 — FASE_10/12 — USAR: SONNET · normal · esforço HIGH

Por que esses parâmetros: Sonnet + HIGH: muitos pontos de integração e verificação por webhook, mas cada um com caminho documentado pelo provedor. A única decisão aberta (Scanner) é fechada por evidência, não por arquitetura nova.

JTBD: Como Leo, quero que o sistema me procure pelos meus canais em vez de eu ter que lembrar de abrir o app.

Problema: Conflito técnico aberto no Scanner (OCR tradicional vs DINOv2/ONNX/SymbolRegistry) sem resolução; o cron de rotinas caiu para 1x/dia por limite do plano Hobby; WhatsApp/Gmail/Outlook dependem de registro de app em cada provedor.

Processo: Fechar a decisão do Scanner, implementar dispatch/undo, ligar as rotinas nos canais autorizados na fase 0 e tratar a degradação do cron como item explícito de upgrade de plano.

Progresso: Um símbolo escaneado dispara ação real; uma rotina diária entrega resumo por um canal real.

Gate: GATE-10: webhook de cada canal autorizado entrega 200 com assinatura válida; scanner dispatch + undo testados; rotina diária executa e registra evidência.",Backlog,Medium,"fase,sonnet,esforco-high",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F10
"[PLAN-EXEC-1409-F11] Mobile — EAS, Build e Submissão às Lojas","Título operacional: PLAN-EXEC-1409-F11 — FASE_11/12 — USAR: SONNET · normal · esforço HIGH

Por que esses parâmetros: Sonnet + HIGH: processo mecânico e bem documentado, porém longo e cheio de artefatos (ícones, capturas, textos, classificação etária). Esforço alto por volume, não por dificuldade conceitual.

JTBD: Como Leo, quero o app publicado na App Store e no Google Play sem eu preencher formulário nenhum.

Problema: apps/mobile/app.json tem extra.eas.projectId vazio, EXPO_TOKEN foi rejeitado como inválido, e o perfil submit.production do eas.json está vazio. Cada loja exige metadados, capturas e textos que hoje não existem.

Processo: Inicializar EAS, gerar builds de produção, produzir todos os metadados e capturas a partir do app real, e submeter usando as credenciais entregues na fase 0.

Progresso: Build de produção aceito por ambas as lojas e em revisão.

Gate: GATE-11: EAS build de produção com sucesso para iOS e Android; submissão aceita (status 'Waiting for Review' / 'In review'); nenhum campo de formulário preenchido por Leo.",Backlog,Medium,"fase,sonnet,esforco-high",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F11
"[PLAN-EXEC-1409-F12] Lançamento — Observabilidade, E2E, Smoke e Corte Público","Título operacional: PLAN-EXEC-1409-F12 — FASE_12/12 — USAR: OPUS · plan mode · esforço HIGH

Por que esses parâmetros: Opus + plan mode + HIGH: é a fase de decisão go/no-go, onde o custo de um falso verde é máximo. Exige julgamento sobre risco agregado de 12 fases, não execução.

JTBD: Como Leo, quero testar, navegar e usar — e liberar para o público sabendo que aguenta.

Problema: Build e E2E não são gates hoje (QUALITY_GATES.md os declara deliberadamente fora); a auditoria de dependências tem baseline de 306 advisories em continue-on-error; não há smoke sequence executada de verdade.

Processo: Promover build e E2E a gates bloqueantes, ligar Sentry/BetterStack, executar a smoke sequence completa do runbook e fazer o corte público com rollback documentado.

Progresso: Ecossistema público, monitorado, com rollback testado e Leo usando o produto ponta a ponta.

Gate: GATE-12: smoke sequence §10 do LAUNCH_RUNBOOK executada e registrada; build e E2E bloqueantes no ci.yml; rollback testado uma vez; Leo aprova o corte.",Backlog,Medium,"fase,opus,esforco-high",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F12
[PLAN-EXEC-1409-F00-T01] Emitir formulário único de insumos humanos (FORM-ZERO),"Fase: FASE-00
Tipo: PREP
Nível de automação: A4
Entrada: Contrato de env (56 vars) + checklist §9 do LAUNCH_RUNBOOK + requisitos de loja
Critério de aceite: Formulário entregue com TODOS os campos que Leo precisa preencher, agrupados por sistema, com instrução de onde obter cada valor
Evidência: 00-PROMPT/FORM-ZERO.md
Bloqueante: YES",Backlog,Urgent,"tarefa,prep,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F00-T01
[PLAN-EXEC-1409-F00-T02] Gravar GitHub Actions Secrets obrigatórios,"Fase: FASE-00
Tipo: CONFIG
Nível de automação: A2
Entrada: Valores do FORM-ZERO
Critério de aceite: gh secret list retorna VERCEL_TOKEN, DATABASE_URL, RESEND_TOKEN, RESEND_FROM, CLERK_WEBHOOK_SECRET, NEON_API_KEY, EXPO_TOKEN
Evidência: Saída de `gh secret list`
Bloqueante: YES",Backlog,Urgent,"tarefa,config,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F00-T02
[PLAN-EXEC-1409-F00-T03] Gravar GitHub Actions Variables,"Fase: FASE-00
Tipo: CONFIG
Nível de automação: A2
Entrada: IDs já conhecidos
Critério de aceite: gh variable list retorna NEON_PROJECT_ID=snowy-dawn-65785764, VERCEL_ORG_ID=team_fJe21quDM0egDSTPE0CFwNnm, EAS_PROJECT_CONFIGURED
Evidência: Saída de `gh variable list`
Bloqueante: YES",Backlog,Urgent,"tarefa,config,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F00-T03
[PLAN-EXEC-1409-F00-T04] Resolver DEC-001 — repositório canônico,"Fase: FASE-00
Tipo: DECISION
Nível de automação: A1
Entrada: Conflito: corpus D20 aprova Sas-Executar/Sas-Executar; live roda em Sas-Executar/01-Executar-Echo
Critério de aceite: Decisão registrada com justificativa e impacto nos 7 projetos Vercel existentes
Evidência: DECISION_LOG.md DEC-001
Bloqueante: YES",Backlog,Urgent,"tarefa,decision,a1",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F00-T04
[PLAN-EXEC-1409-F00-T05] Resolver DEC-002 — arquitetura de dados persistente,"Fase: FASE-00
Tipo: DECISION
Nível de automação: A1
Entrada: Conflito: corpus aprova AWS Aurora sa-east-1 privado; live roda Neon aws-us-east-2 com 30 tabelas e RLS
Critério de aceite: Decisão registrada; se mantiver Neon, o registro de arquitetura aprovada é atualizado e a transferência internacional segue declarada no aviso LGPD
Evidência: DECISION_LOG.md DEC-002
Bloqueante: YES",Backlog,Urgent,"tarefa,decision,a1",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F00-T05
[PLAN-EXEC-1409-F00-T06] Resolver DEC-003 — domínio e plano Vercel,"Fase: FASE-00
Tipo: DECISION
Nível de automação: A1
Entrada: Plano atual é Hobby (limita cron a 1x/dia e força SSO em *.vercel.app); domínio não existe
Critério de aceite: Nome de domínio escolhido + autorização de compra + decisão sobre upgrade para Pro
Evidência: DECISION_LOG.md DEC-003
Bloqueante: YES",Backlog,Urgent,"tarefa,decision,a1",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F00-T06
[PLAN-EXEC-1409-F00-T07] Coletar dados pessoais e fiscais para submissão às lojas,"Fase: FASE-00
Tipo: PREP
Nível de automação: A2
Entrada: Requisitos de App Store Connect e Google Play Console
Critério de aceite: Nome legal, endereço, documento, telefone de suporte, e-mail de suporte, URL de política de privacidade e conta de desenvolvedor de cada loja disponíveis para uso nas fases 6 e 11
Evidência: FORM-ZERO seção Lojas
Bloqueante: YES",Backlog,Urgent,"tarefa,prep,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F00-T07
[PLAN-EXEC-1409-F00-T08] Registrar autorização de auto-PR e política de gates,"Fase: FASE-00
Tipo: GOVERNANCE
Nível de automação: A4
Entrada: Instrução do 14-09.md item 15a
Critério de aceite: AUTHORIZATIONS.md registra: auto-PR ao fim de cada fase autorizado; parada obrigatória ao fim de cada gate; nenhuma ação irreversível sem decisão registrada
Evidência: AUTHORIZATIONS.md
Bloqueante: NO",Backlog,Medium,"tarefa,governance,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F00-T08
[PLAN-EXEC-1409-F01-T01] Implementar preflight de env com falha nominal,"Fase: FASE-01
Tipo: CODE
Nível de automação: A4
Entrada: packages/*/keys.ts (56 vars, 16 com prefixo obrigatório)
Critério de aceite: Build que falta variável falha citando o NOME da variável, o prefixo esperado e o app afetado — não 'Invalid environment variables'
Evidência: Log de build da Vercel
Bloqueante: YES",Backlog,Urgent,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F01-T01
[PLAN-EXEC-1409-F01-T02] Blindar as 16 variáveis com prefixo contra valor inválido,"Fase: FASE-01
Tipo: CODE
Nível de automação: A4
Entrada: Evidência: CLERK_WEBHOOK_SECRET sem 'whsec_' derrubou produção da api
Critério de aceite: Variável opcional preenchida com prefixo errado produz erro de configuração identificável, não quebra global do build
Evidência: Teste de regressão no repositório
Bloqueante: YES",Backlog,Urgent,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F01-T02
[PLAN-EXEC-1409-F01-T03] Executar sync-vercel-env.yml para os 3 projetos,"Fase: FASE-01
Tipo: DEPLOY
Nível de automação: A4
Entrada: Secrets da FASE-00
Critério de aceite: Workflow verde para web, app e api; cada variável sincronizada nos targets corretos
Evidência: Run do GitHub Actions
Bloqueante: YES",Backlog,Urgent,"tarefa,deploy,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F01-T03
[PLAN-EXEC-1409-F01-T04] Redeploy de produção e verificação READY,"Fase: FASE-01
Tipo: DEPLOY
Nível de automação: A4
Entrada: main na cabeça
Critério de aceite: Os 3 projetos com readyState=READY e target=production no mesmo commit
Evidência: get_project de cada projeto
Bloqueante: YES",Backlog,Urgent,"tarefa,deploy,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F01-T04
[PLAN-EXEC-1409-F01-T05] Documentar o contrato de env como fonte única,"Fase: FASE-01
Tipo: DOC
Nível de automação: A4
Entrada: CONTRATO-ENV.csv
Critério de aceite: INFRASTRUCTURE.md substituído por tabela gerada do código, com verificação automática de drift no ci.yml
Evidência: PR + job de CI
Bloqueante: NO",Backlog,Medium,"tarefa,doc,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F01-T05
[PLAN-EXEC-1409-F02-T01] Criar PLAN/ registry versionado,"Fase: FASE-02
Tipo: CODE
Nível de automação: A4
Entrada: Matriz do plano
Critério de aceite: PLAN/plan.json, PLAN/state.json e PLAN/schema.json no repositório, validados em CI
Evidência: Job de CI
Bloqueante: YES",Backlog,High,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F02-T01
[PLAN-EXEC-1409-F02-T02] Criar GATE_LOG.md append-only,"Fase: FASE-02
Tipo: CODE
Nível de automação: A4
Entrada: Protocolo de gates
Critério de aceite: Cada gate encerrado grava fase, commit, PR, evidência, modelo e esforço usados
Evidência: GATE_LOG.md
Bloqueante: YES",Backlog,High,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F02-T02
[PLAN-EXEC-1409-F02-T03] Configurar agente runner e README de rastreio,"Fase: FASE-02
Tipo: CODE
Nível de automação: A3
Entrada: AGENTS.md existente
Critério de aceite: Sessão nova lê PLAN/state.json + GATE_LOG.md e retoma sem contexto conversacional
Evidência: README de rastreio
Bloqueante: YES",Backlog,High,"tarefa,code,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F02-T03
[PLAN-EXEC-1409-F02-T04] Protocolo de encerramento de fase com auto-PR,"Fase: FASE-02
Tipo: CODE
Nível de automação: A4
Entrada: AUTHORIZATIONS.md
Critério de aceite: Ao fim de cada fase: commit, PR aberto, state.json atualizado, issue Linear movida — em uma única sequência
Evidência: PR da própria fase
Bloqueante: YES",Backlog,High,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F02-T04
[PLAN-EXEC-1409-F03-T01] Criar projeto e ciclos no Linear a partir da matriz,"Fase: FASE-03
Tipo: INTEGRATION
Nível de automação: A4
Entrada: MATRIZ-PLANO.xlsx
Critério de aceite: Um projeto Linear por fase, com data e descrição 3P
Evidência: Linear MCP
Bloqueante: YES",Backlog,High,"tarefa,integration,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F03-T01
[PLAN-EXEC-1409-F03-T02] Criar issues espelhando os IDs de tarefa,"Fase: FASE-03
Tipo: INTEGRATION
Nível de automação: A4
Entrada: CSVs por fase
Critério de aceite: Toda tarefa tem issue com o mesmo ID; nenhum ID duplicado ou ausente
Evidência: Contagem CSV vs Linear
Bloqueante: YES",Backlog,High,"tarefa,integration,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F03-T02
[PLAN-EXEC-1409-F03-T03] Validar sincronização da pasta EXECUTAR LINEAR MATRIX no Drive,"Fase: FASE-03
Tipo: INTEGRATION
Nível de automação: A3
Entrada: Pasta do Drive
Critério de aceite: Se a sincronização refletir o plano, manter; se não, popular direto via MCP e registrar que a pasta não sincroniza
Evidência: Evidência comparativa
Bloqueante: NO",Backlog,Medium,"tarefa,integration,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F03-T03
[PLAN-EXEC-1409-F03-T04] Ligar encerramento de gate à mudança de status no Linear,"Fase: FASE-03
Tipo: INTEGRATION
Nível de automação: A4
Entrada: Protocolo da fase 2
Critério de aceite: Encerrar gate move issue para Done com link do PR
Evidência: Issue Linear
Bloqueante: YES",Backlog,High,"tarefa,integration,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F03-T04
[PLAN-EXEC-1409-F04-T01] Comprar domínio e configurar DNS,"Fase: FASE-04
Tipo: INFRA
Nível de automação: A2
Entrada: DEC-003
Critério de aceite: Domínio adquirido e resolvendo
Evidência: Vercel domains
Bloqueante: YES",Backlog,High,"tarefa,infra,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F04-T01
[PLAN-EXEC-1409-F04-T02] Anexar domínio aos 3 projetos,"Fase: FASE-04
Tipo: INFRA
Nível de automação: A4
Entrada: Domínio ativo
Critério de aceite: web, app e api servindo pelo domínio próprio com TLS
Evidência: curl -I
Bloqueante: YES",Backlog,High,"tarefa,infra,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F04-T02
[PLAN-EXEC-1409-F04-T03] Migrar Clerk para instância de produção,"Fase: FASE-04
Tipo: CONFIG
Nível de automação: A2
Entrada: Credenciais do FORM-ZERO
Critério de aceite: Chaves de produção em uso; instância de desenvolvimento fora de produção
Evidência: Clerk dashboard + build
Bloqueante: YES",Backlog,High,"tarefa,config,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F04-T03
[PLAN-EXEC-1409-F04-T04] Desligar SSO Protection e validar webhook Clerk real,"Fase: FASE-04
Tipo: CONFIG
Nível de automação: A3
Entrada: Domínio custom ativo
Critério de aceite: SSO desligado; entrega real do Clerk registrada no log da api com assinatura válida
Evidência: Runtime log da api
Bloqueante: YES",Backlog,High,"tarefa,config,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F04-T04
[PLAN-EXEC-1409-F05-T01] Aplicar decisão DEC-002 e reconciliar registro de arquitetura,"Fase: FASE-05
Tipo: DOC
Nível de automação: A4
Entrada: DEC-002
Critério de aceite: Registro de arquitetura aprovada coerente com o que roda de fato
Evidência: PR
Bloqueante: YES",Backlog,High,"tarefa,doc,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F05-T01
[PLAN-EXEC-1409-F05-T02] Rodar migrate deploy contra produção,"Fase: FASE-05
Tipo: DATA
Nível de automação: A4
Entrada: DATABASE_URL
Critério de aceite: Migrations aplicadas sem conflito; _prisma_migrations consistente
Evidência: Neon MCP
Bloqueante: YES",Backlog,High,"tarefa,data,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F05-T02
[PLAN-EXEC-1409-F05-T03] Executar suíte RLS real (89 testes),"Fase: FASE-05
Tipo: TEST
Nível de automação: A4
Entrada: DATABASE_URL exportado
Critério de aceite: 89 testes executam e passam — não pulam
Evidência: Saída de teste
Bloqueante: YES",Backlog,High,"tarefa,test,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F05-T03
